Type;Article;Largeur;Hauteur;Epaisseur;Profondeur;Diametre;10m;5m;2m;1m
Rectangulaire;POWER HEATER 3000;900;900;100;600;300;0;1;3;9
Rectangulaire;POWER HEATER 3000;900;900;100;700;;0;1;3,7;9,7
Rectangulaire;POWER HEATER 3000;900;900;100;800;;0;1,3;4,7;10,7
Rectangulaire;POWER HEATER 3000;900;900;100;900;;0;2;6;12
Circulaire;QUALITY HEAT 50;;;;600;250;1;4,2;5,8;13,9
Circulaire;QUALITY HEAT 50;;;;600;315;1;1,9;4,1;11,5
Circulaire;QUALITY HEAT 50;;;;900;125;3;7,4;18;25,2
Circulaire;QUALITY HEAT 50;;;;900;160;2;5;11,1;21,1
Circulaire;QUALITY HEAT 50;;;;900;200;2;5,4;11;17,8
Rectangulaire;POWER HEATER 3000;900;900;100;1000;;0,7;2;6,7;13,3
Rectangulaire;POWER HEATER 3000;900;900;100;1100;;1;2,3;7,3;14,7
Rectangulaire;POWER HEATER 3000;900;900;100;1200;;1;3;8;16
Rectangulaire;POWER HEATER 3000;900;900;100;1400;;1;3;9,3;19
Rectangulaire;POWER HEATER 3000;900;900;100;1500;;1;3;10;21
Rectangulaire;POWER HEATER 3000;900;900;100;1600;;1;3;10,7;22,3
Rectangulaire;POWER HEATER 3000;900;900;100;1700;;1;3;11,3;24
Rectangulaire;POWER HEATER 3000;900;900;100;1800;;1;3;12;26
Circulaire;QUALITY HEAT 100XL;;;;2000;1000;4;11;23;26
Circulaire;QUALITY HEAT 100XL;;;;2000;1120;4;11;23;26
Circulaire;QUALITY HEAT 100XL;;;;2000;1250;4;9;13;24
Circulaire;QUALITY HEAT 100;;;;1000;250;4;10,4;20,6;34,8
Circulaire;QUALITY HEAT 100;;;;1000;315;2;5,4;15,9;23,6
Circulaire;QUALITY HEAT 100;;;;1000;355;2;6,9;16,8;23,4
Rectangulaire;POWER HEATER 3000;900;900;100;1900;;1;3,7;12;26,7
Rectangulaire;POWER HEATER 3000;900;900;100;2000;;1;4;12;27,3
Rectangulaire;POWER HEATER 3000;900;900;100;2100;;1;4;12;28
Rectangulaire;POWER HEATER 3000;900;900;100;2200;;1;4;12;29,3
Rectangulaire;POWER HEATER 3000;900;900;100;2300;;1;4;12,3;30,3
Rectangulaire;POWER HEATER 3000;900;900;100;2400;;1;4;13;31
Rectangulaire;POWER HEATER 3000;1000;1000;100;600;;1;3;7;12
Rectangulaire;POWER HEATER 3000;1000;1000;100;700;;1,7;3;8,3;14
Rectangulaire;POWER HEATER 3000;1000;1000;100;800;;2;3;9,3;16
Rectangulaire;POWER HEATER 3000;1000;1000;100;900;;2;3;10;18
Rectangulaire;POWER HEATER 3000;1000;1000;100;1000;;2;3,7;10,7;20
Rectangulaire;POWER HEATER 3000;1000;1000;100;1100;;2;4;11,3;22
Rectangulaire;POWER HEATER 3000;1000;1000;100;1200;;2;4;12;24
Rectangulaire;POWER HEATER 3000;1000;1000;100;1300;;2;4,7;13,3;26
Rectangulaire;POWER HEATER 3000;1000;1000;100;1400;;2;5,3;14,3;28
Rectangulaire;POWER HEATER 3000;1000;1000;100;1500;;2;6;15;30
Rectangulaire;POWER HEATER 3000;1000;1000;100;1600;;2,7;6,7;17;31,3
Rectangulaire;POWER HEATER 3000;1000;1000;100;1700;;3;7,3;18,7;32,3
Rectangulaire;POWER HEATER 3000;1000;1000;100;1800;;3;8;20;33
Rectangulaire;POWER HEATER 3000;1000;1000;100;1900;;3;8,7;20,7;34,3
Rectangulaire;POWER HEATER 3000;1000;1000;100;2000;;3;9;21,3;35,3
Rectangulaire;POWER HEATER 3000;1000;1000;100;2100;;3;9;22;36
Rectangulaire;POWER HEATER 3000;1000;1000;100;2200;;3,7;9,7;22,7;38
Rectangulaire;POWER HEATER 3000;1000;1000;100;2300;;4;10;23;39,7
Rectangulaire;POWER HEATER 3000;1000;1000;100;2400;;4;10;23;41
Rectangulaire;POWER HEATER 3000;1100;1100;100;600;;1;3;8;15
Rectangulaire;POWER HEATER 3000;1100;1100;100;700;;1,7;3,7;10;17,7
Rectangulaire;POWER HEATER 3000;1100;1100;100;800;;2;4,3;12;20,3
Rectangulaire;POWER HEATER 3000;1100;1100;100;900;;2;5;14;23
Rectangulaire;POWER HEATER 3000;1100;1100;100;1000;;2,7;5,7;16;25
Rectangulaire;POWER HEATER 3000;1100;1100;100;1100;;3;6,3;17,7;27
Rectangulaire;POWER HEATER 3000;1100;1100;100;1200;;3;7;19;29
Rectangulaire;POWER HEATER 3000;1100;1100;100;1300;;3;7,7;20,3;30,3
Rectangulaire;POWER HEATER 3000;1100;1100;100;1400;;3;8;21,3;31,3
Rectangulaire;POWER HEATER 3000;1100;1100;100;1500;;3;8;22;32
Rectangulaire;POWER HEATER 3000;1100;1100;100;1600;;3,7;8,7;23,3;33,3
Rectangulaire;POWER HEATER 3000;1100;1100;100;1700;;4;9;24,7;34,7
Rectangulaire;POWER HEATER 3000;1100;1100;100;1800;;4;9;26;36
Rectangulaire;POWER HEATER 3000;1100;1100;100;1900;;4,7;9,7;26,7;36,7
Rectangulaire;POWER HEATER 3000;1100;1100;100;2000;;5;10,3;27,3;37
Rectangulaire;POWER HEATER 3000;1100;1100;100;2100;;5;11;28;37
Rectangulaire;POWER HEATER 3000;1100;1100;100;2200;;5,7;11,7;28,7;37,7
Rectangulaire;POWER HEATER 3000;1100;1100;100;2300;;6;12;29,3;38,3
Rectangulaire;POWER HEATER 3000;1100;1100;100;2400;;6;12;30;39
Rectangulaire;POWER HEATER 3000;1200;1200;200;600;;2;2;6;8
Rectangulaire;POWER HEATER 3000;1200;1200;200;700;;2;2,7;7,3;9,3
Rectangulaire;POWER HEATER 3000;1200;1200;200;800;;2;3;8,3;10,3
Rectangulaire;POWER HEATER 3000;1200;1200;200;900;;2;3;9;11
Rectangulaire;POWER HEATER 3000;1200;1200;200;1000;;2,7;3,7;9,7;12,3
Rectangulaire;POWER HEATER 3000;1200;1200;200;1100;;3;4;10,3;13,7
Rectangulaire;POWER HEATER 3000;1200;1200;200;1200;;3;4;11;15
